#"months" "Waves" "Error"
143 1.17857142857143 0.124653715359128
144 1.22 0.15825194520422
145 1.15483870967742 0.128417892237905
146 1.41 0.14298541039633
147 0.951724137931034 0.0859058783916772
148 1.26206896551724 0.100908898227383
149 0.972413793103448 0.0974927749911314
150 1.28148148148148 0.126540314515321
151 1.27666666666667 0.153404531196347
152 1.3 0.107162824560301
153 1.27 0.154559068796129
154 2.14193548387097 0.227126708682047
155 1.25483870967742 0.166548692203761
156 1.01666666666667 0.062529686436314
157 0.958064516129032 0.095238714630561
158 1.13 0.12713916712049
159 1.3 0.122876043912097
160 0.974193548387097 0.0911064297785818
161 1.476 0.131184348659942
162 1.62857142857143 0.0846494706411008
163 1.51153846153846 0.141348116155923
164 1.52903225806452 0.16779362313662
165 1.01 0.118355591236796
166 1.44333333333333 0.206819557832222
167 1.24838709677419 0.113390652906195
168 1.32857142857143 0.145101418906596
169 1.23225806451613 0.137753644588063
170 1.2551724137931 0.104879265197597
171 1.57666666666667 0.146975901796221
172 1.20322580645161 0.122823754398193
173 1.17928571428571 0.108892851286136
174 1.49333333333333 0.134158366988236
175 1.36333333333333 0.164245634196134
176 1.06129032258065 0.158939862797618
177 1.11 0.173228305934716
178 1.35483870967742 0.163551886454896
179 0.916129032258065 0.0951622015629781
180 0.95 0.110874268648212
181 0.709677419354839 0.084923094710814
182 0.642857142857143 0.0856701826572294
183 0.942857142857143 0.0744341211917038
184 1.33548387096774 0.129311525744047
185 1.66785714285714 0.182650501212968
186 1.62903225806452 0.0958486203856375
187 1.49655172413793 0.240047345423449
188 1.35161290322581 0.169684778449515
189 1.18666666666667 0.129342575804369
190 1.18148148148148 0.170054209308736
191 1.80666666666667 0.154138671846912
192 1.01333333333333 0.127938477278159
193 1.2741935483871 0.1532422175705
194 0.868333333333333 0.090480306275757
195 1.05 0.075923433906087
196 1.07096774193548 0.0703590711283562
197 1.28793103448276 0.116222755492088
198 1.07741935483871 0.0908395344537337
199 1.36190476190476 0.181459190017269
200 1.30967741935484 0.0871724084183489
201 1.01 0.15225130465817
202 1.14137931034483 0.121921928643782
203 0.92258064516129 0.100398097636451
204 0.996666666666667 0.0984340999382396
205 0.835483870967742 0.092346750365979
206 1.13666666666667 0.130646784788141
207 0.832258064516129 0.11597062074881
208 1.49310344827586 0.189238234043
209 1.66666666666667 0.112849646588028
210 1.3 0.094564944538831
211 0.992857142857143 0.10324478687386
212 1.24516129032258 0.104710426063483
213 1.15666666666667 0.160221350718478
214 1.15806451612903 0.127572386666356
215 1.43548387096774 0.191628470458471
216 1.17 0.134775249271118
217 1.09032258064516 0.0828724682494524
218 1.00333333333333 0.100514004666512
219 1.11290322580645 0.109617314334022
220 1.23225806451613 0.123600735702146
221 1.50107142857143 0.121165350406285
222 1.32903225806452 0.117883991488178
223 1.48 0.13824848526534
224 1.1741935483871 0.109933287877507
225 1.32 0.163678968098229
226 1.14730769230769 0.132958706941213
227 1.10967741935484 0.139611969070474
228 1.06666666666667 0.147182999184832
229 0.871428571428571 0.108605536274392
230 1.24 0.124531305208817
231 0.741935483870968 0.0741654925916572
232 1.03225806451613 0.089968584334683
233 1.38214285714286 0.12662212786597
234 1.63870967741935 0.11673676106512
235 1.19642857142857 0.131583974721955
236 1.0258064516129 0.0988066148514233
237 1.30666666666667 0.143913554299486
238 1.5741935483871 0.173575166819009
239 1.2 0.177012240631357
240 1.52333333333333 0.131890178395088
241 0.8875 0.108733236255832
242 1.264 0.125150575974171
243 1.53225806451613 0.155845739609024
244 1.71612903225806 0.123923040130276
245 1.62413793103448 0.192190841398806
246 1.55161290322581 0.0971498086862942
247 1.64 0.124715768804533
248 0.94 0.248193472919817
